country,Diff_GDP_Growth
Guyana,9.700000000000001
Somalia,7.3
Zimbabwe,6.6000000000000005
Djibouti,6.1
Tuvalu,4.7
"Solomon Islands",4.6
Guinea,4.3
Liberia,3.6
Ireland,3.200000000000001
Ethiopia,2.9000000000000004
Seychelles,2.8
Togo,2.6999999999999997
Niger,2.5999999999999996
"Papua New Guinea",2.3000000000000003
"Central African Republic",2.3
Bangladesh,1.9000000000000004
Mauritania,1.9000000000000001
Kiribati,1.9000000000000001
"Cayman Islands",1.8
Senegal,1.7000000000000002
