country,Diff_Electricity_From_Renewables
China,1481.2
"United States",368.40000000000003
Brazil,176.60000000000002
Germany,173.6
India,172.20000000000002
"United Kingdom",93.30000000000001
Canada,76.10000000000002
Japan,71.6
Turkey,68.9
Italy,60.4
Spain,56.800000000000004
France,39.80000000000001
Australia,27.4
Sweden,25.299999999999997
Indonesia,23.599999999999998
Poland,21.5
Norway,21.200000000000017
Mexico,20
Colombia,19.299999999999997
Malaysia,19
