country,Diff_Renewable_Energy_Share
Denmark,16.5
Lithuania,9.099999999999998
Uruguay,9
Luxembourg,8.899999999999999
Italy,8.2
Germany,8.100000000000001
"United Kingdom",7.4
Hungary,7.1
Greece,6.9
Bulgaria,6.800000000000001
Finland,6.700000000000003
Sweden,6.600000000000001
Zimbabwe,6.599999999999994
Belgium,6.499999999999999
Tuvalu,6.4
Ireland,6.4
Malta,6.2
Cyprus,6.1000000000000005
Slovakia,6.1
Spain,5.800000000000001
