country,Diff_Low_Carbon_Electricity
"Sierra Leone",66.8
Denmark,52.800000000000004
Luxembourg,48.6
Cambodia,47
Ireland,27.6
Vanuatu,26.6
"United Kingdom",26.3
Nicaragua,25.799999999999997
"Equatorial Guinea",23.500000000000004
Hungary,23.099999999999994
Finland,22.9
Estonia,22.200000000000003
Greece,22.2
Romania,21.6
Italy,20.7
Portugal,20.4
"Central African Republic",20
Sudan,18.39999999999999
Czechia,16.9
Kenya,16.700000000000003
